#timestep  time            dt               CD_p             CD_f             CL_p
     3750  1.53750000e+02  1.00000000e-03   2.93234915e-02   2.33498296e-02   4.09800937e-01
     3775  1.53775000e+02  1.00000000e-03   2.91884414e-02   2.34194536e-02   4.08807269e-01
     3800  1.53800000e+02  1.00000000e-03   2.90395048e-02   2.34878585e-02   4.07661609e-01
     3825  1.53825000e+02  1.00000000e-03   2.88773902e-02   2.35546191e-02   4.06370874e-01
     3850  1.53850000e+02  1.00000000e-03   2.87028225e-02   2.36193055e-02   4.04942211e-01
     3875  1.53875000e+02  1.00000000e-03   2.85166298e-02   2.36815047e-02   4.03383176e-01
     3900  1.53900000e+02  1.00000000e-03   2.83198216e-02   2.37408309e-02   4.01701937e-01
     3925  1.53925000e+02  1.00000000e-03   2.81135851e-02   2.37969372e-02   3.99907161e-01
     3950  1.53950000e+02  1.00000000e-03   2.78991753e-02   2.38495095e-02   3.98007562e-01
     3975  1.53975000e+02  1.00000000e-03   2.76778313e-02   2.38982517e-02   3.96011916e-01
     4000  1.54000000e+02  1.00000000e-03   2.74506396e-02   2.39428703e-02   3.93928880e-01
     4025  1.54025000e+02  1.00000000e-03   2.72184625e-02   2.39830617e-02   3.91767058e-01
     4050  1.54050000e+02  1.00000000e-03   2.69819625e-02   2.40185057e-02   3.89535379e-01
     4075  1.54075000e+02  1.00000000e-03   2.67417155e-02   2.40488723e-02   3.87243655e-01
     4100  1.54100000e+02  1.00000000e-03   2.64983704e-02   2.40738404e-02   3.84903117e-01
     4125  1.54125000e+02  1.00000000e-03   2.62528150e-02   2.40931283e-02   3.82526807e-01
     4150  1.54150000e+02  1.00000000e-03   2.60063149e-02   2.41065207e-02   3.80129783e-01
     4175  1.54175000e+02  1.00000000e-03   2.57605696e-02   2.41138943e-02   3.77729024e-01
     4200  1.54200000e+02  1.00000000e-03   2.55176471e-02   2.41152273e-02   3.75342930e-01
     4225  1.54225000e+02  1.00000000e-03   2.52798396e-02   2.41105958e-02   3.72990678e-01
     4250  1.54250000e+02  1.00000000e-03   2.50494745e-02   2.41001630e-02   3.70691519e-01
     4275  1.54275000e+02  1.00000000e-03   2.48287415e-02   2.40841543e-02   3.68464120e-01
     4300  1.54300000e+02  1.00000000e-03   2.46195805e-02   2.40628295e-02   3.66326035e-01
     4325  1.54325000e+02  1.00000000e-03   2.44236716e-02   2.40364531e-02   3.64293519e-01
     4350  1.54350000e+02  1.00000000e-03   2.42424771e-02   2.40052728e-02   3.62381456e-01
     4375  1.54375000e+02  1.00000000e-03   2.40773327e-02   2.39695205e-02   3.60603503e-01
     4400  1.54400000e+02  1.00000000e-03   2.39294803e-02   2.39294140e-02   3.58972062e-01
     4425  1.54425000e+02  1.00000000e-03   2.38000968e-02   2.38851772e-02   3.57498432e-01
     4450  1.54450000e+02  1.00000000e-03   2.36902505e-02   2.38370497e-02   3.56192760e-01
     4475  1.54475000e+02  1.00000000e-03   2.36008805e-02   2.37852958e-02   3.55064145e-01
     4500  1.54500000e+02  1.00000000e-03   2.35327936e-02   2.37302022e-02   3.54120623e-01
     4525  1.54525000e+02  1.00000000e-03   2.34866917e-02   2.36720808e-02   3.53369185e-01
     4550  1.54550000e+02  1.00000000e-03   2.34631947e-02   2.36112607e-02   3.52815675e-01
     4575  1.54575000e+02  1.00000000e-03   2.34627951e-02   2.35480859e-02   3.52464549e-01
     4600  1.54600000e+02  1.00000000e-03   2.34857918e-02   2.34829092e-02   3.52318740e-01
     4625  1.54625000e+02  1.00000000e-03   2.35321720e-02   2.34160862e-02   3.52379476e-01
     4650  1.54650000e+02  1.00000000e-03   2.36015290e-02   2.33479648e-02   3.52646217e-01
     4675  1.54675000e+02  1.00000000e-03   2.36931144e-02   2.32789102e-02   3.53117073e-01
     4700  1.54700000e+02  1.00000000e-03   2.38059023e-02   2.32093090e-02   3.53788964e-01
     4725  1.54725000e+02  1.00000000e-03   2.39387466e-02   2.31395927e-02   3.54658000e-01
     4750  1.54750000e+02  1.00000000e-03   2.40905094e-02   2.30702431e-02   3.55719570e-01
     4775  1.54775000e+02  1.00000000e-03   2.42601474e-02   2.30017826e-02   3.56968205e-01
     4800  1.54800000e+02  1.00000000e-03   2.44466490e-02   2.29347458e-02   3.58396982e-01
     4825  1.54825000e+02  1.00000000e-03   2.46489174e-02   2.28696475e-02   3.59997013e-01
     4850  1.54850000e+02  1.00000000e-03   2.48656126e-02   2.28069544e-02   3.61757077e-01
     4875  1.54875000e+02  1.00000000e-03   2.50950943e-02   2.27470763e-02   3.63663830e-01
     4900  1.54900000e+02  1.00000000e-03   2.53354887e-02   2.26903811e-02   3.65702497e-01
     4925  1.54925000e+02  1.00000000e-03   2.55848108e-02   2.26372158e-02   3.67857527e-01
     4950  1.54950000e+02  1.00000000e-03   2.58410917e-02   2.25879225e-02   3.70113068e-01
     4975  1.54975000e+02  1.00000000e-03   2.61024519e-02   2.25428402e-02   3.72453071e-01
     5000  1.55000000e+02  1.00000000e-03   2.63671919e-02   2.25022867e-02   3.74861670e-01
     5025  1.55025000e+02  1.00000000e-03   2.66336627e-02   2.24665463e-02   3.77322529e-01
     5050  1.55050000e+02  1.00000000e-03   2.69001708e-02   2.24358683e-02   3.79818497e-01
     5075  1.55075000e+02  1.00000000e-03   2.71648998e-02   2.24104731e-02   3.82331575e-01
     5100  1.55100000e+02  1.00000000e-03   2.74259119e-02   2.23905508e-02   3.84843257e-01
     5125  1.55125000e+02  1.00000000e-03   2.76812305e-02   2.23762731e-02   3.87335158e-01
     5150  1.55150000e+02  1.00000000e-03   2.79289415e-02   2.23678159e-02   3.89789497e-01
     5175  1.55175000e+02  1.00000000e-03   2.81672633e-02   2.23653623e-02   3.92189300e-01
     5200  1.55200000e+02  1.00000000e-03   2.83945418e-02   2.23690746e-02   3.94518217e-01
     5225  1.55225000e+02  1.00000000e-03   2.86092031e-02   2.23790468e-02   3.96760186e-01
     5250  1.55250000e+02  1.00000000e-03   2.88097193e-02   2.23952643e-02   3.98899274e-01
     5275  1.55275000e+02  1.00000000e-03   2.89946346e-02   2.24176023e-02   4.00919912e-01
     5300  1.55300000e+02  1.00000000e-03   2.91626309e-02   2.24458538e-02   4.02807372e-01
     5325  1.55325000e+02  1.00000000e-03   2.93125985e-02   2.24797690e-02   4.04548288e-01
     5350  1.55350000e+02  1.00000000e-03   2.94436592e-02   2.25190825e-02   4.06130964e-01
     5375  1.55375000e+02  1.00000000e-03   2.95551557e-02   2.25635185e-02   4.07545503e-01
     5400  1.55400000e+02  1.00000000e-03   2.96466170e-02   2.26127838e-02   4.08783724e-01
     5425  1.55425000e+02  1.00000000e-03   2.97177431e-02   2.26665458e-02   4.09839091e-01
     5450  1.55450000e+02  1.00000000e-03   2.97683954e-02   2.27244134e-02   4.10706605e-01
     5475  1.55475000e+02  1.00000000e-03   2.97986784e-02   2.27858662e-02   4.11383397e-01
     5500  1.55500000e+02  1.00000000e-03   2.98085551e-02   2.28503465e-02   4.11866250e-01
     5525  1.55525000e+02  1.00000000e-03   2.97983179e-02   2.29172055e-02   4.12154724e-01
     5550  1.55550000e+02  1.00000000e-03   2.97682713e-02   2.29858202e-02   4.12249183e-01
     5575  1.55575000e+02  1.00000000e-03   2.97189509e-02   2.30556412e-02   4.12152146e-01
     5600  1.55600000e+02  1.00000000e-03   2.96510280e-02   2.31262190e-02   4.11867674e-01
     5625  1.55625000e+02  1.00000000e-03   2.95653483e-02   2.31971685e-02   4.11401293e-01
     5650  1.55650000e+02  1.00000000e-03   2.94629435e-02   2.32681193e-02   4.10760121e-01
     5675  1.55675000e+02  1.00000000e-03   2.93448064e-02   2.33387150e-02   4.09951391e-01
     5700  1.55700000e+02  1.00000000e-03   2.92118976e-02   2.34085690e-02   4.08982641e-01
     5725  1.55725000e+02  1.00000000e-03   2.90650066e-02   2.34772686e-02   4.07860819e-01
     5750  1.55750000e+02  1.00000000e-03   2.89048467e-02   2.35443914e-02   4.06592783e-01
     5775  1.55775000e+02  1.00000000e-03   2.87321430e-02   2.36095069e-02   4.05185657e-01
     5800  1.55800000e+02  1.00000000e-03   2.85476982e-02   2.36721991e-02   4.03646880e-01
     5825  1.55825000e+02  1.00000000e-03   2.83524906e-02   2.37320761e-02   4.01984509e-01
     5850  1.55850000e+02  1.00000000e-03   2.81476826e-02   2.37887853e-02   4.00207151e-01
     5875  1.55875000e+02  1.00000000e-03   2.79345183e-02   2.38420075e-02   3.98323497e-01
     5900  1.55900000e+02  1.00000000e-03   2.77142421e-02   2.38914448e-02   3.96342311e-01
     5925  1.55925000e+02  1.00000000e-03   2.74879699e-02   2.39368046e-02   3.94272284e-01
     5950  1.55950000e+02  1.00000000e-03   2.72565938e-02   2.39777858e-02   3.92121997e-01
     5975  1.55975000e+02  1.00000000e-03   2.70208003e-02   2.40140713e-02   3.89900306e-01
     6000  1.56000000e+02  1.00000000e-03   2.67811639e-02   2.40453318e-02   3.87616833e-01
     6025  1.56025000e+02  1.00000000e-03   2.65383064e-02   2.40712422e-02   3.85282549e-01
     6050  1.56050000e+02  1.00000000e-03   2.62930616e-02   2.40915115e-02   3.82910170e-01
     6075  1.56075000e+02  1.00000000e-03   2.60466241e-02   2.41059111e-02   3.80514422e-01
     6100  1.56100000e+02  1.00000000e-03   2.58006220e-02   2.41142997e-02   3.78111994e-01
     6125  1.56125000e+02  1.00000000e-03   2.55570694e-02   2.41166384e-02   3.75721093e-01
     6150  1.56150000e+02  1.00000000e-03   2.53182348e-02   2.41129865e-02   3.73360831e-01
     6175  1.56175000e+02  1.00000000e-03   2.50864562e-02   2.41034951e-02   3.71050518e-01
     6200  1.56200000e+02  1.00000000e-03   2.48639567e-02   2.40883799e-02   3.68808974e-01
     6225  1.56225000e+02  1.00000000e-03   2.46527252e-02   2.40678984e-02   3.66653987e-01
     6250  1.56250000e+02  1.00000000e-03   2.44544860e-02   2.40423166e-02   3.64602054e-01
     6275  1.56275000e+02  1.00000000e-03   2.42707347e-02   2.40118862e-02   3.62668295e-01
     6300  1.56300000e+02  1.00000000e-03   2.41028278e-02   2.39768430e-02   3.60866590e-01
     6325  1.56325000e+02  1.00000000e-03   2.39520205e-02   2.39374062e-02   3.59209538e-01
     6350  1.56350000e+02  1.00000000e-03   2.38195048e-02   2.38937984e-02   3.57708632e-01
     6375  1.56375000e+02  1.00000000e-03   2.37063710e-02   2.38462565e-02   3.56374218e-01
     6400  1.56400000e+02  1.00000000e-03   2.36135762e-02   2.37950389e-02   3.55215545e-01
     6425  1.56425000e+02  1.00000000e-03   2.35419532e-02   2.37404300e-02   3.54240856e-01
     6450  1.56450000e+02  1.00000000e-03   2.34922140e-02   2.36827365e-02   3.53457307e-01
     6475  1.56475000e+02  1.00000000e-03   2.34649939e-02   2.36222855e-02   3.52870962e-01
     6500  1.56500000e+02  1.00000000e-03   2.34608060e-02   2.35594176e-02   3.52486508e-01
     6525  1.56525000e+02  1.00000000e-03   2.34799928e-02   2.34944861e-02   3.52307175e-01
     6550  1.56550000e+02  1.00000000e-03   2.35225968e-02   2.34278465e-02   3.52334467e-01
     6575  1.56575000e+02  1.00000000e-03   2.35882817e-02   2.33598476e-02   3.52568138e-01
     6600  1.56600000e+02  1.00000000e-03   2.36763531e-02   2.32908522e-02   3.53006506e-01
     6625  1.56625000e+02  1.00000000e-03   2.37858245e-02   2.32212414e-02   3.53646658e-01
     6650  1.56650000e+02  1.00000000e-03   2.39155650e-02   2.31514403e-02   3.54484836e-01
     6675  1.56675000e+02  1.00000000e-03   2.40644263e-02   2.30819220e-02   3.55516533e-01
     6700  1.56700000e+02  1.00000000e-03   2.42313536e-02   2.30132056e-02   3.56736462e-01
     6725  1.56725000e+02  1.00000000e-03   2.44153359e-02   2.29458260e-02   3.58137967e-01
     6750  1.56750000e+02  1.00000000e-03   2.46153033e-02   2.28803052e-02   3.59712521e-01
     6775  1.56775000e+02  1.00000000e-03   2.48299619e-02   2.28171194e-02   3.61449276e-01
     6800  1.56800000e+02  1.00000000e-03   2.50577198e-02   2.27566885e-02   3.63335191e-01
     6825  1.56825000e+02  1.00000000e-03   2.52967309e-02   2.26993868e-02   3.65355651e-01
     6850  1.56850000e+02  1.00000000e-03   2.55450174e-02   2.26455638e-02   3.67495178e-01
     6875  1.56875000e+02  1.00000000e-03   2.58005958e-02   2.25955627e-02   3.69737916e-01
     6900  1.56900000e+02  1.00000000e-03   2.60615665e-02   2.25497236e-02   3.72067831e-01
     6925  1.56925000e+02  1.00000000e-03   2.63261874e-02   2.25083717e-02   3.74468941e-01
     6950  1.56950000e+02  1.00000000e-03   2.65928195e-02   2.24717948e-02   3.76925079e-01
     6975  1.56975000e+02  1.00000000e-03   2.68597744e-02   2.24402500e-02   3.79419182e-01
     7000  1.57000000e+02  1.00000000e-03   2.71252582e-02   2.24139618e-02   3.81933361e-01
     7025  1.57025000e+02  1.00000000e-03   2.73873466e-02   2.23931255e-02   3.84449127e-01
     7050  1.57050000e+02  1.00000000e-03   2.76440599e-02   2.23779145e-02   3.86948010e-01
     7075  1.57075000e+02  1.00000000e-03   2.78934637e-02   2.23685029e-02   3.89412077e-01
